Postcode;Plaatsnaam;Provincie
1501;Buizingen;Vlaams-Brabant
1910;Buken;Vlaams-Brabant
4760;BULLANGE;Luik
8630;Bulskamp;West-Vlaanderen
3380;Bunsbeek;Vlaams-Brabant
2070;Burcht;Antwerpen
4210;BURDINNE;Luik
6927;Bure;Luxemburg
9420;Burst;Oost-Vlaanderen 
7602;Bury;Henegouwen
4750;BUTGENBACH;Luik
3891;Buvingen;Limburg
7133;Buvrinnes;Henegouwen
6743;Buzenol;Luxemburg
6230;Buzet;Henegouwen
7604;Callenelle;Henegouwen
7642;Calonne;Henegouwen
7940;Cambron-Casteau;Henegouwen
7870;Cambron-Saint-Vincent;Henegouwen
1804;Cargovil;
6850;Carlsbourg;Luxemburg
7141;Carnières;Henegouwen
7061;Casteau;Henegouwen
5650;Castillon;Namen
4317;Celles;Luik
5561;Celles;Namen
7760;CELLES;Henegouwen
4632;Cérexhe-Heuseux;Luik
5630;CERFONTAINE;Namen
1341;Céroux-Mousty;Waals-Brabant
4650;Chaineux;Luik
5550;Chairière;Namen
5020;Champion;Namen
6971;Champlon;Luxemburg
6921;Chanly;Luxemburg
6742;Chantemelle;Luxemburg
7903;Chapelle-À-Oie;Henegouwen
7903;Chapelle-À-Wattines;Henegouwen
7160;CHAPELLE-LEZ-HERLAIMONT;Henegouwen
4537;Chapon-Seraing;Luik
6000;CHARLEROI;Henegouwen
6099;Charleroi X;
4654;Charneux;Luik
6824;Chassepierre;Luxemburg
1450;Chastre-Villeroux-Blanmont;Waals-Brabant
5650;Chastrès;Namen
6200;CHÂTELET;Henegouwen
6200;Châtelineau;Henegouwen
6747;Châtillon;Luxemburg
4050;CHAUDFONTAINE;Luik
1325;CHAUMONT-GISTOUX;Waals-Brabant
7063;Chaussée-Notre-Dame-Louvignies;Henegouwen
4032;Chênee;Luik
6673;Cherain;Luxemburg
4602;Cheratte;Luik
7521;Chercq;Henegouwen
5590;Chevetogne;Namen
4987;Chevron;Luik
7950;CHIÈVRES;Henegouwen
6460;CHIMAY;Henegouwen
6810;CHINY;Luxemburg
4400;Chokier;Luik
1031;Christelijke Sociale Organisaties;
5560;Ciergnon;Namen
5590;CINEY;Namen
4260;Ciplet;Luik
7024;Ciply;Henegouwen
1480;Clabecq;Waals-Brabant
4560;CLAVIER;Luik
4890;Clermont;Luik
5650;Clermont;Namen
4480;Clermont-Sous-Huy;Luik
5022;Cognelée;Namen
7340;COLFONTAINE;Henegouwen
4170;COMBLAIN-AU-PONT;Luik
4180;Comblain-Fairon;Luik
4180;Comblain-La-Tour;Luik
5590;Conneux;Namen
1435;Corbais;Waals-Brabant
6838;Corbion;Luxemburg
7910;Cordes;Henegouwen
5620;Corenne;Namen
4860;Cornesse;Luik
5555;Cornimont;Namen
1935;CORPORATE VILLAGE;
5032;Corroy-Le-Château;Namen
1325;Corroy-Le-Grand;Waals-Brabant
4257;Corswarem;Luik
1450;Cortil-Noirmont;Waals-Brabant
5380;Cortil-Wodon;Namen
6010;Couillet;Henegouwen
6120;Cour-Sur-Heure;Henegouwen
6180;COURCELLES;Henegouwen
5336;Courrière;Namen
1490;COURT-SAINT-ETIENNE;Waals-Brabant
4218;Couthuin;Luik
5300;Coutisse;Namen
1380;Couture-Saint-Germain;Waals-Brabant
5660;COUVIN;Namen
4280;Cras-Avernas;Luik
4280;Crehen;Luik
4367;CRISNÉE;Luik
7120;Croix-Lez-Rouveroy;Henegouwen
4784;Crombach;Luik
5332;Crupet;Namen
7033;Cuesmes;Henegouwen
6880;Cugnon;Luxemburg
5660;Cul-Des-Sarts;Namen
5562;Custinne;Namen
8890;Dadizele;West-Vlaanderen
5660;Dailly;Namen
9160;Daknam;Oost-Vlaanderen 
4607;DALHEM;Luik
8340;DAMME;West-Vlaanderen
6767;Dampicourt;Luxemburg
6020;Dampremy;Henegouwen
4253;Darion;Luik
5630;Daussois;Namen
5020;Daussoulx;Namen
5100;Dave;Namen
6929;DAVERDISSE;Luxemburg
8420;DE HAAN;West-Vlaanderen
9170;De Klinge;Oost-Vlaanderen 
8630;De Moeren;West-Vlaanderen
8660;DE PANNE;West-Vlaanderen
9840;DE PINTE;Oost-Vlaanderen 
8540;DEERLIJK;West-Vlaanderen
9570;Deftinge;Oost-Vlaanderen 
9800;DEINZE;Oost-Vlaanderen 
9280;Denderbelle;Oost-Vlaanderen 
9450;Denderhoutem;Oost-Vlaanderen 
9470;DENDERLEEUW;Oost-Vlaanderen 
9200;DENDERMONDE;Oost-Vlaanderen 
9400;Denderwindeke;Oost-Vlaanderen 
5537;Denée;Namen
8720;DENTERGEM;West-Vlaanderen
7912;Dergneau;Henegouwen
2480;DESSEL;Antwerpen
8792;Desselgem;West-Vlaanderen
9070;DESTELBERGEN;Oost-Vlaanderen 
9042;Desteldonk;Oost-Vlaanderen 
9831;Deurle;Oost-Vlaanderen 
2100;Deurne;Antwerpen
3290;Deurne;Vlaams-Brabant
7864;Deux-Acren;Henegouwen
5310;Dhuy;Namen
1831;Diegem;Vlaams-Brabant
3590;DIEPENBEEK;Limburg
3290;DIEST;Vlaams-Brabant
3700;Diets-Heur;Limburg
8900;Dikkebus;West-Vlaanderen
9630;Dikkele;Oost-Vlaanderen 
9890;Dikkelvenne;Oost-Vlaanderen 
8600;DIKSMUIDE;West-Vlaanderen
1700;DILBEEK;Vlaams-Brabant
3650;Dilsen;Limburg
3650;DILSEN-STOKKEM;Limburg
5500;DINANT;Namen
5570;Dion;Namen
1325;Dion-Valmont;Waals-Brabant
4820;DISON;Luik
1045;DIV -- obsolete - use 1212 instead;
6960;Dochamps;Luxemburg
9130;Doel;Oost-Vlaanderen 
6836;Dohan;Luxemburg
5680;DOISCHE;Namen
4140;Dolembreux;Luik
4357;DONCEEL;Luik
1370;Dongelberg;Waals-Brabant
3540;Donk;Limburg
6536;Donstiennes;Henegouwen
5530;Dorinne;Namen
3440;Dormaal;Vlaams-Brabant
7711;Dottenijs;Henegouwen
7370;DOUR;Henegouwen
5670;Dourbes;Namen
8951;Dranouter;West-Vlaanderen
5500;Dréhance;Namen
8600;Driekapellen;West-Vlaanderen
3350;Drieslinter;Vlaams-Brabant
1620;DROGENBOS;Vlaams-Brabant
9031;Drongen;Oost-Vlaanderen 
8380;Dudzele;West-Vlaanderen
2570;DUFFEL;Antwerpen
3080;Duisburg;Vlaams-Brabant
3803;Duras;Limburg
6940;DURBUY;Luxemburg
5530;Durnal;Namen
1653;Dworp;Vlaams-Brabant
4690;Eben-Emael;Luik
6860;Ebly;Luxemburg
7190;Ecaussinnes-D'Enghien;Henegouwen
7191;Ecaussinnes-Lalaing;Henegouwen
2650;EDEGEM;Antwerpen
9700;Edelare;Oost-Vlaanderen 
7850;EDINGEN;Henegouwen
9900;EEKLO;Oost-Vlaanderen 
8480;Eernegem;West-Vlaanderen
8740;Egem;West-Vlaanderen
8630;Eggewaartskapelle;West-Vlaanderen
5310;EGHEZÉE;Namen
4120;Ehein;Luik
4480;Ehein;Luik
3740;Eigenbilzen;Limburg
2430;Eindhout;Antwerpen
9700;Eine;Oost-Vlaanderen 
3630;Eisden;Limburg
9810;Eke;Oost-Vlaanderen 
2180;Ekeren;Antwerpen
9160;Eksaarde;Oost-Vlaanderen 
3941;Eksel;Limburg
3650;Elen;Limburg
9620;Elene;Oost-Vlaanderen 
1982;Elewijt;Vlaams-Brabant
3400;Eliksem;Vlaams-Brabant
1671;Elingen;Vlaams-Brabant
4590;Ellemelle;Luik
7890;ELLEZELLES;Henegouwen
7910;Ellignies-Lez-Frasnes;Henegouwen
7972;Ellignies-Saint-Anne;Henegouwen
3670;Ellikom;Limburg
7370;Elouges;Henegouwen
9790;Elsegem;Oost-Vlaanderen 
4750;Elsenborn;Luik
1050;ELSENE;Brussel (19 gemeenten)
9660;Elst;Oost-Vlaanderen 
8906;Elverdinge;West-Vlaanderen
9140;Elversele;Oost-Vlaanderen 
2520;Emblem;Antwerpen
4053;Embourg;Luik
8870;Emelgem;West-Vlaanderen
5080;Emines;Namen
5363;Emptinne;Namen
9700;Ename;Oost-Vlaanderen 
3800;Engelmanshoven;Limburg
4480;ENGIS;Luik
1350;Enines;Waals-Brabant
4800;Ensival;Luik
7134;Epinois;Henegouwen
1980;Eppegem;Vlaams-Brabant
5580;Eprave;Namen
7050;Erbaut;Henegouwen
7050;Erbisoeul;Henegouwen
7500;Ere;Henegouwen
9320;Erembodegem;Oost-Vlaanderen 
6997;EREZÉE;Luxemburg
5644;Ermeton-Sur-Biert;Namen
5030;Ernage;Namen
6972;Erneuville;Luxemburg
4920;Ernonheid;Luik
9420;Erondegem;Oost-Vlaanderen 
9420;Erpe;Oost-Vlaanderen 
5101;Erpent;Namen
6441;Erpion;Henegouwen
3071;Erps-Kwerps;Vlaams-Brabant
6560;ERQUELINNES;Henegouwen
7387;Erquennes;Henegouwen
9940;Ertvelde;Oost-Vlaanderen 
9620;Erwetegem;Oost-Vlaanderen 
7760;Escanaffles;Henegouwen
8600;Esen;West-Vlaanderen
4130;ESNEUX;Luik
7502;Esplechin;Henegouwen
7743;Esquelmes;Henegouwen
2910;ESSEN;Antwerpen
1790;Essene;Vlaams-Brabant
7730;Estaimbourg;Henegouwen
7730;ESTAIMPUIS;Henegouwen
7120;Estinnes-Au-Mont;Henegouwen
7120;Estinnes-Au-Val;Henegouwen
6740;ETALLE;Luxemburg
6760;Ethe;Luxemburg
9680;Etikhove;Oost-Vlaanderen 
8460;Ettelgem;West-Vlaanderen
1040;ETTERBEEK;Brussel (19 gemeenten)
7080;Eugies;Henegouwen
4700;EUPEN;Luik
1046;European External Action Service;
1047;Europees Parlement;
1049;Europese unie - Commissie;
1048;Europese unie - Raad;
4631;Evegnée;Luik
5350;Evelette;Namen
9660;Everbeek;Oost-Vlaanderen 
3078;Everberg;Vlaams-Brabant
1140;EVERE;Brussel (19 gemeenten)
9940;EVERGEM;Oost-Vlaanderen 
7730;Evregnies;Henegouwen
5530;Evrehailles;Namen
4731;Eynatten;Luik
3400;Ezemaal;Vlaams-Brabant
5600;Fagnolle;Namen
4317;FAIMES;Luik
5522;Falaen;Namen
5060;Falisolle;Namen
4260;Fallais;Luik
5500;Falmagne;Namen
5500;Falmignoul;Namen
7181;Familleureux;Henegouwen
6240;FARCIENNES;Henegouwen
5340;Faulx-Les-Tombes;Namen
7120;Fauroeulx;Henegouwen
6637;FAUVILLERS;Luxemburg
4950;Faymonville;Luik
6856;Fays-Les-Veneurs;Luxemburg
7387;Fayt-Le-Franc;Henegouwen
7170;Fayt-Lez-Manage;Henegouwen
5570;Felenne;Namen
7181;Feluy;Henegouwen
4607;Feneur;Luik
4190;FERRIÈRES;Luik
5570;Feschaux;Namen
4347;FEXHE-LE-HAUT-CLOCHER;Luik
4458;Fexhe-Slins;Luik
4181;Filot;Luik
5560;Finnevaux;Namen
4530;Fize-Fontaine;Luik
4367;Fize-Le-Marsal;Luik
6686;Flamierge;Luxemburg
5620;Flavion;Namen
5020;Flawinne;Namen
4400;Flémalle-Grande;Luik
4400;Flémalle-Haute;Luik
7012;Flénu;Henegouwen
4620;FLÉRON;Luik
6220;FLEURUS;Henegouwen
4540;Flône;Luik
5334;Florée;Namen
5150;FLOREFFE;Namen
5620;FLORENNES;Namen
6820;FLORENVILLE;Luxemburg
5150;Floriffoux;Namen
5370;Flostoy;Namen
5572;Focant;Namen
1212;FOD Mobiliteit;
1350;Folx-Les-Caves;Waals-Brabant
6140;FONTAINE-L'EVÊQUE;Henegouwen
6567;Fontaine-Valmont;Henegouwen
5650;Fontenelle;Namen
6820;Fontenoille;Luxemburg
7643;Fontenoy;Henegouwen
4340;Fooz;Luik
6141;Forchies-La-Marche;Henegouwen
7910;Forest;Henegouwen
4870;Forêt;Luik
6596;Forge-Philippe;Henegouwen
6464;Forges;Henegouwen
6953;Forrières;Luxemburg
5380;Forville;Namen
4980;Fosse;Luik
5070;FOSSES-LA-VILLE;Namen
7830;Fouleng;Henegouwen
6440;Fourbechies;Henegouwen
5504;Foy-Notre-Dame;Namen
4870;Fraipont;Luik
5650;Fraire;Namen
4557;Fraiture;Luik
7080;FRAMERIES;Henegouwen
6853;Framont;Luxemburg
5380;Franc-Waret;Namen
5600;Franchimont;Namen
4970;Francorchamps;Luik
5150;Franière;Namen
5660;Frasnes;Namen
7911;Frasnes-Lez-Buissenal;Henegouwen
6210;Frasnes-Lez-Gosselies;Henegouwen
4347;Freloux;Luik
6800;Freux;Luxemburg
6440;FROIDCHAPELLE;Henegouwen
5576;Froidfontaine;Namen
7504;Froidmont;Henegouwen
6990;Fronville;Luxemburg
7503;Froyennes;Henegouwen
4260;Fumal;Luik
5500;Furfooz;Namen
5641;Furnaux;Namen
1750;Gaasbeek;Vlaams-Brabant
7943;Gages;Henegouwen
7906;Gallaix;Henegouwen
1570;GALMAARDEN;Vlaams-Brabant
1083;GANSHOREN;Brussel (19 gemeenten)
7530;Gaurain-Ramecroix;Henegouwen
9890;GAVERE;Oost-Vlaanderen 
5575;GEDINNE;Namen
2440;GEEL;Antwerpen
4250;GEER;Luik
1367;Geest-Gérompont-Petit-Rosière;Waals-Brabant
3450;GEETBETS;Vlaams-Brabant
5024;Gelbressée;Namen
3800;Gelinden;Limburg
3620;Gellik;Limburg
3200;Gelrode;Vlaams-Brabant
8980;Geluveld;West-Vlaanderen
8940;Geluwe;West-Vlaanderen
6929;Gembes;Luxemburg
5030;GEMBLOUX;Namen
4851;Gemmenich;Luik
1470;GENAPPE;Waals-Brabant
3600;GENK;Limburg
7040;Genly;Henegouwen
3770;Genoelselderen;Limburg
9000;GENT;Oost-Vlaanderen 
9099;Gent X;
9050;Gentbrugge;Oost-Vlaanderen 
1450;Gentinnes;Waals-Brabant
1332;Genval;Waals-Brabant
9500;GERAARDSBERGEN;Oost-Vlaanderen 
3960;Gerdingen;Limburg
5524;Gerin;Namen
1367;Gérompont;Waals-Brabant
6769;Gérouville;Luxemburg
6280;GERPINNES;Henegouwen
2590;Gestel;Antwerpen
5340;GESVES;Namen
7822;Ghislenghien;Henegouwen
7011;Ghlin;Henegouwen
7863;Ghoy;Henegouwen
7823;Gibecq;Henegouwen
2275;Gierle;Antwerpen
8691;Gijverinkhove;West-Vlaanderen
9308;Gijzegem;Oost-Vlaanderen 
8570;Gijzelbrechtegem;West-Vlaanderen
9860;Gijzenzele;Oost-Vlaanderen 
6060;Gilly;Henegouwen
5680;Gimnée;Namen
3890;GINGELOM;Limburg
8470;GISTEL;West-Vlaanderen
8830;Gits;West-Vlaanderen
7041;Givry;Henegouwen
1473;Glabais;Waals-Brabant
3380;GLABBEEK;Vlaams-Brabant
4000;Glain;Luik
4400;Gleixhe;Luik
1315;Glimes;Waals-Brabant
4690;Glons;Luik
5680;Gochenée;Namen
7160;Godarville;Henegouwen
5530;Godinne;Namen
